Title,Year,ActNo
Indian Statistical Institute Act[1959],1959,57
Geneva Conventions Act[1960],1960,6
Orphanages and Other Charitable Homes (Supervision and Control) Act[1960],1960,10
Bombay Reorganisation Act[1960],1960,11
Delhi Land Holdings (Ceiling) Act[1960],1960,24
International Development Association (Status Immunities and Privileges) Act[1960],1960,32
Manipur Land Revenue and Land Reforms Act[1960],1960,33
Delhi Primary Education Act[1960],1960,39
Tripura Land Revenue and Land Reforms Act[1960],1960,43
Prevention of Cruelty to Animal Act[1960],1960,59
Preference Shares (Regulation of Dividend) Act[1960],1960,63
Acquired Territories (Merger) Act[1960],1960,64
Advocates Act[1961],1961,25
Salar Jung Museum Act[1961],1961,26
Motor Transport Workers Act[1961],1961,27
Dowry Prohibition Act[1961],1961,28
Delhi (Urban Areas) Tenants Relief Act[1961],1961,30
Union Territories (Stamp and Court-fees Laws) Act[1961],1961,33
Dadra and Nagar Haveli Act[1961],1961,35
Income-tax Act[1961],1961,43
Voluntary Surrender of Salaries (Exemption from Taxation) Act[1961],1961,46
Deposit Insurance and Credit Guarantee Corporation Act[1961],1961,47
Apprentices Act[1961],1961,52
Maternity Benefit Act[1961],1961,53
Institutes of Technology Act[1961],1961,59
Goa Daman and Diu (Administration) Act[1962],1962,01
Hindi Sahitya Sammelan Act[1962],1962,13
National Co-operative Development Corporation Act[1962],1962,26
State of Nagaland Act[1962],1962,27
Atomic Energy Act[1962],1962,33
Extradition Act[1962],1962,34
Foreigners Law (Application and Amendment) Act[1962],1962,42
Pondicherry (Administration) Act[1962],1962,49
Petroleum and Minerals Pipelines (Acquisition of Right of User in Land) Act[1962],1962,50
Customs Act[1962],1962,52
Manipur (Sales of Motor Spirit and Lubricants) Taxation Act[1962],1962,55
State Associated Banks (Miscellaneous Provisions) Act[1962],1962,56
Delhi Motor Vehicles Taxation Act[1962],1962,57
Warehousing Corporations Act[1962],1962,58
Marine Insurance Act[1963],1963,11
Official Languages Act[1963],1963,19
Government of Union Territories Act[1963],1963,20
Export (Quality Control and Inspection) Act[1963],1963,22
Limitation Act[1963],1963,36
Major Port Trusts Act[1963],1963,38
Textiles Committee Act[1963],1963,41
Administrators-General Act[1963],1963,45
Specific Relief Act[1963],1963,47
Central Boards of Revenue Act[1963],1963,54
Companies (Profits) Surtax Act[1964],1964,07
Taxation Laws (Continuation and Validation of Recovery Proceedings) Act[1964],1964,11
Dakshina Bharat Hindi Prachar Sabha Act[1964],1964,14
Legal Tender (Inscribed Notes) Act[1964],1964,28
Food Corporations Act[1964],1964,37
Warehousing Corporations (Supplementary) Act[1965],1965,20
Payment of Bonus Act[1965],1965,21
Goa Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Act[1965],1965,30
Railways Employment of Members of the Armed Forces Act[1965],1965,40
Taxation Laws (Amendment and Miscellaneous Provisions) Act[1965],1965,41
Cardamom Act[1965],1965,42
Union Territories (Direct Election to the House of the People) Act[1965],1965,49
Seamens Provident Fund Act[1966],1966,4
Asian Development Bank Act[1966],1966,18
Delhi High Court Act[1966],1966,26
Railway Property (Unlawful Possession) Act[1966],1966,29
Punjab Reorganisation Act[1966],1966,31
